id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
64,19630,6.155778240683852e-06,3.667042339407818e-06,1.4824145798530132e-05,3.256720685781374e-06,7.133683074935625e-06,2.039106868825615e-06
65,20565,8.487133338681515e-06,3.667042339407818e-06,1.5079160690771354e-05,3.256720685781374e-06,9.267880277218622e-06,2.039106868825615e-06
66,21544,7.061512550810124e-06,3.667042339407818e-06,1.5201762932806797e-05,3.256720685781374e-06,7.15846693121807e-06,2.039106868825615e-06
67,22570,7.473149551033287e-06,3.667042339407818e-06,1.3514530568932028e-05,3.256720685781374e-06,8.918608402223464e-06,2.039106868825615e-06
68,23644,6.731180466284225e-06,3.667042339407818e-06,1.690936681482518e-05,3.256720685781374e-06,7.237230051473361e-06,2.039106868825615e-06
69,24770,7.331404995908649e-06,3.667042339407818e-06,1.5910585224026867e-05,3.256720685781374e-06,8.928366712278351e-06,2.039106868825615e-06
70,25950,6.895414436943039e-06,3.667042339407818e-06,1.6621385695617323e-05,3.256720685781374e-06,7.383386983118076e-06,2.039106868825615e-06
71,27185,8.075632372826848e-06,3.667042339407818e-06,1.4486439157457546e-05,3.256720685781374e-06,8.797606102833091e-06,2.039106868825615e-06
72,28480,6.963731197828657e-06,3.667042339407818e-06,1.873387379592724e-05,3.256720685781374e-06,8.752456541811482e-06,2.039106868825615e-06
73,29836,7.70957592361845e-06,3.667042339407818e-06,1.7821125537336854e-05,3.256720685781374e-06,7.323867786600277e-06,2.039106868825615e-06
74,31257,7.835616648042713e-06,3.667042339407818e-06,1.5759928028074837e-05,3.256720685781374e-06,9.216532908737818e-06,2.039106868825615e-06
75,32745,6.704742552797601e-06,3.667042339407818e-06,1.6611363982804804e-05,3.256720685781374e-06,8.97184148565069e-06,2.039106868825615e-06
76,34304,7.519011955652664e-06,3.667042339407818e-06,1.8645932814523357e-05,3.256720685781374e-06,7.5710339666302524e-06,2.039106868825615e-06
77,35938,8.504361128182129e-06,3.667042339407818e-06,1.7609551936227137e-05,3.256720685781374e-06,9.159856317861827e-06,2.039106868825615e-06
78,37649,7.813326843662145e-06,3.667042339407818e-06,1.8548457574209828e-05,3.256720685781374e-06,8.817497846560889e-06,2.039106868825615e-06
79,39442,7.756836823811185e-06,3.667042339407818e-06,1.5015770398750186e-05,3.256720685781374e-06,9.058842122944668e-06,2.039106868825615e-06
80,41320,7.245305200744806e-06,3.667042339407818e-06,1.214775549823063e-05,3.256720685781374e-06,8.995933431161915e-06,2.039106868825615e-06
81,43287,7.673253591600353e-06,3.667042339407818e-06,1.7712225131775702e-05,3.256720685781374e-06,9.409087576753679e-06,2.039106868825615e-06
82,45348,7.658684244229068e-06,3.667042339407818e-06,1.7138504105038224e-05,3.256720685781374e-06,9.279860131185584e-06,2.039106868825615e-06
83,47508,7.918961593937551e-06,3.667042339407818e-06,1.5322348279985923e-05,3.256720685781374e-06,9.501056658295236e-06,2.039106868825615e-06
84,49770,8.126825651107889e-06,3.667042339407818e-06,1.4871527733322796e-05,3.256720685781374e-06,9.573016129321833e-06,2.039106868825615e-06
85,52140,8.637767026467391e-06,3.667042339407818e-06,1.739204089944281e-05,3.256720685781374e-06,9.335765538656441e-06,2.039106868825615e-06
86,54622,8.303794973977582e-06,3.667042339407818e-06,1.2016305989458928e-05,3.256720685781374e-06,9.504355740369966e-06,2.039106868825615e-06
87,57223,8.201714949283447e-06,3.667042339407818e-06,1.8088667561431555e-05,3.256720685781374e-06,9.267688445434283e-06,2.039106868825615e-06
88,59948,9.161620077396748e-06,3.667042339407818e-06,1.699806588052582e-05,3.256720685781374e-06,9.130280609802829e-06,2.039106868825615e-06
89,62802,1.0378888213616648e-05,3.667042339407818e-06,1.7814357426283387e-05,3.256720685781374e-06,9.843401193489699e-06,2.039106868825615e-06
90,65793,9.782742666172292e-06,3.667042339407818e-06,1.808133121753883e-05,3.256720685781374e-06,9.590777171221065e-06,2.039106868825615e-06
91,68926,8.94079356974873e-06,3.667042339407818e-06,1.748099439299031e-05,3.256720685781374e-06,1.0063328399981416e-05,2.039106868825615e-06
92,72208,1.001992974237991e-05,3.667042339407818e-06,1.4615902846809926e-05,3.256720685781374e-06,9.784661109606495e-06,2.039106868825615e-06
93,75646,9.178648833869466e-06,3.667042339407818e-06,1.632469780771685e-05,3.256720685781374e-06,1.0185720389616048e-05,2.039106868825615e-06
94,79248,8.910975623751755e-06,3.667042339407818e-06,1.9174151148142393e-05,3.256720685781374e-06,1.0583524917704203e-05,2.039106868825615e-06
95,83021,9.827270307476681e-06,3.667042339407818e-06,1.922983499535409e-05,3.256720685781374e-06,1.0051011186264008e-05,2.039106868825615e-06
96,86974,9.368605077188567e-06,3.667042339407818e-06,1.9642619059025375e-05,3.256720685781374e-06,1.001871744850147e-05,2.039106868825615e-06
97,91116,9.750285262287833e-06,3.667042339407818e-06,1.8847229933005e-05,3.256720685781374e-06,1.0236105376086634e-05,2.039106868825615e-06
98,95454,1.0118265296046762e-05,3.667042339407818e-06,1.6442611964970272e-05,3.256720685781374e-06,1.0237129898482116e-05,2.039106868825615e-06
99,99999,8.936420636331607e-06,3.667042339407818e-06,1.8135421432186733e-05,3.256720685781374e-06,1.0580886314997183e-05,2.039106868825615e-06
