id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
71,27185,0.0011899619587471496,0.001161051537367907,1.9970154179048074e-06,6.132902150178767e-08,7.3485456013780365e-06,1.7341771924243588e-06
72,28480,0.0012105014803034536,0.001161051537367907,1.9728132847989544e-06,6.132902150178767e-08,5.906602639830514e-06,1.7341771924243588e-06
73,29836,0.0013330378790038539,0.001161051537367907,2.0207724601274076e-06,6.132902150178767e-08,7.60949701610176e-06,1.7341771924243588e-06
74,31257,0.0013482429230896225,0.001161051537367907,1.9939915172868464e-06,6.132902150178767e-08,7.293600913571141e-06,1.7341771924243588e-06
75,32745,0.0014144080379461038,0.001161051537367907,2.055212566371655e-06,6.132902150178767e-08,5.7799376719124284e-06,1.7341771924243588e-06
76,34304,0.0014795985614964322,0.001161051537367907,1.9828552630410266e-06,6.132902150178767e-08,7.095093380159407e-06,1.7341771924243588e-06
77,35938,0.0015488889727013173,0.001161051537367907,1.9969098442842317e-06,6.132902150178767e-08,7.208138397469851e-06,1.7341771924243588e-06
78,37649,0.001624846839028344,0.001161051537367907,1.992377352342811e-06,6.132902150178767e-08,7.13559215820948e-06,1.7341771924243588e-06
79,39442,0.0017072930913155017,0.001161051537367907,1.963063455680993e-06,6.132902150178767e-08,7.108768919443819e-06,1.7341771924243588e-06
80,41320,0.0017888203075756063,0.001161051537367907,1.9501912743862922e-06,6.132902150178767e-08,5.824758607212595e-06,1.7341771924243588e-06
81,43287,0.001891725532097631,0.001161051537367907,1.986854539651298e-06,6.132902150178767e-08,7.987597970894007e-06,1.7341771924243588e-06
82,45348,0.0019924607480488158,0.001161051537367907,1.9399768788631374e-06,6.132902150178767e-08,6.912629882147611e-06,1.7341771924243588e-06
83,47508,0.0020417197942834133,0.001161051537367907,1.955837314956124e-06,6.132902150178767e-08,6.733749052726872e-06,1.7341771924243588e-06
84,49770,0.0021783786436053725,0.001161051537367907,1.9757700225112666e-06,6.132902150178767e-08,6.911393890472835e-06,1.7341771924243588e-06
85,52140,0.0023025826425629187,0.001161051537367907,1.9930403123745117e-06,6.132902150178767e-08,6.944995114846297e-06,1.7341771924243588e-06
86,54622,0.002401162335700761,0.001161051537367907,2.046226080201362e-06,6.132902150178767e-08,7.569678581986178e-06,1.7341771924243588e-06
87,57223,0.002528987381577152,0.001161051537367907,2.025410056670422e-06,6.132902150178767e-08,7.1868933482732e-06,1.7341771924243588e-06
88,59948,0.0026440806351311253,0.001161051537367907,2.0011681811044507e-06,6.132902150178767e-08,7.3555917842318e-06,1.7341771924243588e-06
89,62802,0.0027784477513723514,0.001161051537367907,2.0121052054014067e-06,6.132902150178767e-08,7.73712364846227e-06,1.7341771924243588e-06
90,65793,0.002934297266496838,0.001161051537367907,1.989133456604441e-06,6.132902150178767e-08,7.297359525286769e-06,1.7341771924243588e-06
91,68926,0.003093318076798281,0.001161051537367907,1.9620950398496187e-06,6.132902150178767e-08,7.088530331013826e-06,1.7341771924243588e-06
92,72208,0.003246261272888978,0.001161051537367907,1.951266280727272e-06,6.132902150178767e-08,7.38446144050752e-06,1.7341771924243588e-06
93,75646,0.003418263358284152,0.001161051537367907,1.9493175644059273e-06,6.132902150178767e-08,7.812546873081305e-06,1.7341771924243588e-06
94,79248,0.003593425789361719,0.001161051537367907,2.061528868803274e-06,6.132902150178767e-08,7.379868524906829e-06,1.7341771924243588e-06
95,83021,0.003786127740833312,0.001161051537367907,1.9907338228583073e-06,6.132902150178767e-08,7.748496128810607e-06,1.7341771924243588e-06
96,86974,0.0039160678925456,0.001161051537367907,1.992459356062498e-06,6.132902150178767e-08,7.715936193611583e-06,1.7341771924243588e-06
97,91116,0.004167986981637118,0.001161051537367907,2.001636958456138e-06,6.132902150178767e-08,7.564151008144087e-06,1.7341771924243588e-06
98,95454,0.004405983279591461,0.001161051537367907,1.989484075593062e-06,6.132902150178767e-08,7.72514761282267e-06,1.7341771924243588e-06
99,99999,0.004725019607946019,0.001161051537367907,1.954179278426085e-06,6.132902150178767e-08,7.551736055080278e-06,1.7341771924243588e-06
