id,size,amortizedTimes_BST,deviazioneStandard_BST,amortizedTimes_AVL,deviazioneStandard_AVL,amortizedTimes_RBT,deviazioneStandard_RBT
76,34304,1.0507403692202782e-05,1.8745958496155866e-06,1.5208838201725662e-05,3.1089527984793405e-06,9.343403377639713e-06,1.5765091566104325e-06
77,35938,9.450691425247698e-06,1.8745958496155866e-06,1.7059301121272442e-05,3.1089527984793405e-06,8.370278043363228e-06,1.5765091566104325e-06
78,37649,9.467482785310506e-06,1.8745958496155866e-06,1.5927411040169534e-05,3.1089527984793405e-06,9.571591830449281e-06,1.5765091566104325e-06
79,39442,1.0499387947772303e-05,1.8745958496155866e-06,1.7934992579234843e-05,3.1089527984793405e-06,9.069245205309501e-06,1.5765091566104325e-06
80,41320,9.416172142065736e-06,1.8745958496155866e-06,1.7525069595883455e-05,3.1089527984793405e-06,9.816019486596255e-06,1.5765091566104325e-06
81,43287,9.88255392685252e-06,1.8745958496155866e-06,1.8270727276518407e-05,3.1089527984793405e-06,9.83731790240728e-06,1.5765091566104325e-06
82,45348,1.0630793595446516e-05,1.8745958496155866e-06,1.7850048024471217e-05,3.1089527984793405e-06,9.885995783607743e-06,1.5765091566104325e-06
83,47508,1.0888991235853636e-05,1.8745958496155866e-06,1.4484842046198243e-05,3.1089527984793405e-06,9.877619302121238e-06,1.5765091566104325e-06
84,49770,9.810687404860209e-06,1.8745958496155866e-06,1.774737699361889e-05,3.1089527984793405e-06,9.560781428678365e-06,1.5765091566104325e-06
85,52140,8.848713054298486e-06,1.8745958496155866e-06,1.678407809539549e-05,3.1089527984793405e-06,9.62056005234274e-06,1.5765091566104325e-06
86,54622,8.614954309930369e-06,1.8745958496155866e-06,1.5115817355889629e-05,3.1089527984793405e-06,9.372780740398572e-06,1.5765091566104325e-06
87,57223,9.930988156641133e-06,1.8745958496155866e-06,1.8161318501854005e-05,3.1089527984793405e-06,9.611360683820811e-06,1.5765091566104325e-06
88,59948,9.64552452416769e-06,1.8745958496155866e-06,1.4548759221187497e-05,3.1089527984793405e-06,9.909885660009753e-06,1.5765091566104325e-06
89,62802,9.518357425095766e-06,1.8745958496155866e-06,1.87511987122171e-05,3.1089527984793405e-06,9.987803083449989e-06,1.5765091566104325e-06
90,65793,1.1155487652409682e-05,1.8745958496155866e-06,1.8444983600771088e-05,3.1089527984793405e-06,9.872235244858356e-06,1.5765091566104325e-06
91,68926,1.0830110167438687e-05,1.8745958496155866e-06,1.9538490071374312e-05,3.1089527984793405e-06,9.738229451009181e-06,1.5765091566104325e-06
92,72208,1.0284485611977927e-05,1.8745958496155866e-06,1.50125088249002e-05,3.1089527984793405e-06,9.76103981397592e-06,1.5765091566104325e-06
93,75646,9.291948559982453e-06,1.8745958496155866e-06,1.7946739021286946e-05,3.1089527984793405e-06,9.984993794062532e-06,1.5765091566104325e-06
94,79248,1.035851828623078e-05,1.8745958496155866e-06,2.032862560642673e-05,3.1089527984793405e-06,1.0458620514456682e-05,1.5765091566104325e-06
95,83021,9.592464435672184e-06,1.8745958496155866e-06,1.786372045908289e-05,3.1089527984793405e-06,1.0897639664436429e-05,1.5765091566104325e-06
96,86974,9.395968361119302e-06,1.8745958496155866e-06,1.7815518149493616e-05,3.1089527984793405e-06,1.0865175499520129e-05,1.5765091566104325e-06
97,91116,9.532357660544191e-06,1.8745958496155866e-06,1.71384143004578e-05,3.1089527984793405e-06,1.0112536749506318e-05,1.5765091566104325e-06
98,95454,9.70231786610372e-06,1.8745958496155866e-06,1.6310998934729543e-05,3.1089527984793405e-06,1.0414513880825808e-05,1.5765091566104325e-06
99,99999,9.752709641049048e-06,1.8745958496155866e-06,1.7117022976870395e-05,3.1089527984793405e-06,1.1338495152224472e-05,1.5765091566104325e-06
